site_id,basin,treatment,visit_date,plot_date,year_std,tadpole,subadult
10222,barrett,control,2009-08-21,2009-08-20,0,2500,7
10222,barrett,control,2010-07-31,2010-07-30,1,1890,0
10222,barrett,control,2010-09-10,2010-09-10,1,1656,6
10222,barrett,control,2009-09-09,2009-09-08,0,3349,9
10222,barrett,control,2010-08-18,2010-08-17,1,3163,4
11470,barrett,control,2009-08-20,2009-08-20,0,2,3
11470,barrett,control,2010-07-30,2010-07-30,1,1,0
11470,barrett,control,2009-09-08,2009-09-08,0,0,2
11470,barrett,control,2010-08-17,2010-08-17,1,0,2
11470,barrett,control,2010-09-11,2010-09-10,1,0,0
11495,barrett,control,2009-08-20,2009-08-20,0,90,4
11495,barrett,control,2010-07-30,2010-07-30,1,235,7
11495,barrett,control,2009-09-08,2009-09-08,0,175,4
11495,barrett,control,2010-08-17,2010-08-17,1,190,20
11495,barrett,control,2010-09-11,2010-09-10,1,253,2
11469,barrett,treated,2010-07-30,2010-07-30,1,0,1
11469,barrett,treated,2010-09-11,2010-09-10,1,0,0
11469,barrett,treated,2009-08-20,2009-08-20,0,0,6
11469,barrett,treated,2009-09-08,2009-09-08,0,0,12
11469,barrett,treated,2010-08-17,2010-08-17,1,0,0
11491,barrett,treated,2009-08-21,2009-08-20,0,510,40
11491,barrett,treated,2009-09-09,2009-09-08,0,162,81
11491,barrett,treated,2010-07-31,2010-07-30,1,288,0
11491,barrett,treated,2010-08-18,2010-08-17,1,412,0
11491,barrett,treated,2010-09-10,2010-09-10,1,93,8
11493,barrett,treated,2009-08-20,2009-08-20,0,176,16
11493,barrett,treated,2009-09-08,2009-09-08,0,290,52
11493,barrett,treated,2010-07-30,2010-07-30,1,300,1
11493,barrett,treated,2010-08-17,2010-08-17,1,226,3
11493,barrett,treated,2010-09-11,2010-09-10,1,128,0
11517,dusy,control,2010-08-16,2010-08-16,0,71,1
11517,dusy,control,2010-09-11,2010-09-11,0,79,1
11517,dusy,control,2011-07-18,2011-07-18,1,50,0
11517,dusy,control,2011-08-21,2011-08-20,1,4,12
11525,dusy,control,2010-09-12,2010-09-11,0,16,0
11525,dusy,control,2011-07-18,2011-07-18,1,12,0
11525,dusy,control,2011-08-20,2011-08-20,1,150,0
11525,dusy,control,2010-08-16,2010-08-16,0,350,36
11506,dusy,treated,2010-09-11,2010-09-11,0,710,40
11506,dusy,treated,2011-07-19,2011-07-18,1,232,0
11506,dusy,treated,2010-08-17,2010-08-16,0,280,10
11506,dusy,treated,2011-08-23,2011-08-20,1,59,15
11518,dusy,treated,2010-08-16,2010-08-16,0,800,17
11518,dusy,treated,2010-09-11,2010-09-11,0,620,21
11518,dusy,treated,2011-07-18,2011-07-18,1,527,1
11518,dusy,treated,2011-08-20,2011-08-20,1,930,16
11526,dusy,treated,2010-09-12,2010-09-11,0,500,57
11526,dusy,treated,2011-07-18,2011-07-18,1,265,0
11526,dusy,treated,2010-08-16,2010-08-16,0,770,51
11526,dusy,treated,2011-08-20,2011-08-20,1,520,3
