pit_tag_ref,capture_swab,release_swab,recapture_swab,days_inside,LRR,capture_swab_std
900067000114142,399321.816,2780.496,0,7,-4.966781239972545,-0.7508414608906276
900067000116991,912310.616,1372.136,0,7,-6.498884440875464,-0.6350990473364905
900067000116993,12535355.848,1115.496,0,7,-9.326113268649037,1.987335025299376
900067000117006,5560895.928,390.68,0,7,-9.560824791318122,0.41373181139413234
900067000117012,2155376.024,13311.816,NA,7,-5.086993760090459,-0.3546340731936276
900067000117025,140191.072,96.28,NA,7,-7.27317528597701,-0.8093074892652027
900067000117062,1044508.544,38465.088,NA,7,-3.301525696376003,-0.6052720662141423
900067000117063,3644484.896,6696.12,NA,7,-6.299293007635436,-0.018655870764727227
900067000117143,758662.152,0,0,7,-13.53931315286059,-0.669765777023856
900067000117525,7212.88,7133.152,NA,7,-0.011113554891162062,-0.8393105164114981
900067000117545,95706.312,5963.696,NA,7,-2.7754366106790487,-0.8193443038872307
900067000117546,2571582.528,517.384,NA,7,-8.509316145514175,-0.26072803604449374
900067000117562,11900818.264,349.272,396.024,7,-10.433407805904833,1.8441683295294664
900067000114350,722399.12,13717.84,NA,7,-3.9638090975973284,-0.6779475752355729
900067000116988,6135635.2,2619.96,NA,7,-7.758328388975846,0.543406592803839
900067000116990,12902509.312,4432.464,0,7,-7.975995949438051,2.0701735357466258
982000410686117,467355.44,3676.32,0,6,-4.844907995355546,-0.735491465248238
982000410686120,1012279.608,22078.8,NA,6,-3.825297928647796,-0.6125436768982777
982000410686127,6318387.616,35204,NA,6,-5.19003137083771,0.5846398628297922
982000410686139,186407.96,381777.928,0,6,0.7168987488032189,-0.7988798655742347
982000410686141,17000998.008,0,NA,6,-16.648782665470357,2.994889579448532
982000410686156,675959.672,268.208,0,6,-7.828405860806899,-0.6884254137295943
982000410686161,822761.632,1043.576,968.016,6,-6.669056679639041,-0.655303417372407
982000410686171,1118030.152,248036.216,190.664,6,-1.5057457179472251,-0.5886838515039944
982000410686180,303095.824,19350.112,NA,6,-2.7513024200940444,-0.7725523219478692
982000410686181,250379.864,100077.128,0,6,-0.9170320536326719,-0.78444629008757
982000410686157,3256549.16,1825.472,100.72,5,-7.486037443638072,-0.10618335360361295
900067000116882,5500969.28,43780.544,NA,4,-4.833467411488641,0.4002109413951593
982000410686103,6755263.056,921335.056,0,3,-1.9922524887292385,0.6832093010867787
982000410686114,5540349.584,37221030.168,NA,3,1.9048161744378225,0.40909606994271347
982000410686164,2670918.024,1960088.36,0,2,-0.3094325528930728,-0.23831559729605054
982000410686175,5902786.52,158303.656,NA,2,-3.618658600373872,0.49087042005290366
