,Estimate,Est.Error,l-95%CI,u-95%CI,Rhat,Bulk_ESS,Tail_ESS
sd(Intercept),0.73,0.25,0.4,1.37,1,1301,1563
Intercept,14.71,0.44,13.87,15.55,1,1676,1668
overdispersion-Intercept,-1.33,0.08,-1.48,-1.18,1,5407,2754
stage(tadpole),-2.76,0.1,-2.95,-2.57,1,5296,2417
basin(dusy),-0.26,0.47,-1.17,0.69,1,1966,2067
year_std(1),-0.4,0.12,-0.63,-0.18,1,3922,3096
treatment(treated),-1.32,0.5,-2.33,-0.32,1,1556,1614
year_std(1):treatment(treated),1.52,0.18,1.16,1.87,1,3923,2645
overdispersion-stage(tadpole),0.34,0.07,0.2,0.48,1,4540,3301
overdispersion-basin(dusy),0.45,0.06,0.33,0.57,1,5399,3119
overdispersion-year_std(1),0.82,0.07,0.67,0.96,1,4611,3192
overdispersion-treatment(treated),-0.71,0.07,-0.85,-0.57,1,4632,2889
zi,0.01,0,0.01,0.02,1,5437,2653
